ime,gorovje,visina,geografska_sirina,geografska_dolzina,vrsta,st_ogledov,priljubljenost,mesto,st_poti,st_gsp_sledi,opis

Slatnik (severozahodni vrh),Julijske Alpe, 1609,"46,23708°N","13,99341°E", vrh, 452180, 85% ,413. mesto,4,0,"Slatnik je razgledna gora, ki se nahaja zahodno od smučišča Soriška planina. S travnatega vrha se nam odpre lep razgled na Škofjeloško in Cerkljansko hribovje, Julijce, Karavanke ter del Kamniško Savinjskih Alp."

Možic,Julijske Alpe, 1602,"46,24182°N","13,99482°E", vrh, 516755, 92% ,205. mesto,7,0,"Možic je 1602 m visok vrh, ki se nahaja zahodno od Soriške planine. Ravno na najvišji točki vrha se nahaja star vojaški bunker na katerem je napisano ime vrha z višino. Z vrha, ki ima tudi vpisno skrinjico (ta je trenutno uničena 28.4.2010) in žig, se nam odpre lep pogled na verigo Spodnjih Bohinjskih gora, Triglavu, delu Karavank, Ratitovcu in Poreznu."

Planina za Migovcem,Julijske Alpe, 1600,"46,2615°N","13,787°E", planina, 230713, 54% ,1255. mesto,3,0,"Planina za Migovcem je že dolgo opuščena planina, ki se nahaja med Bohinjskim Migovcem (1901 m) in Mohorjem (1848 m). S planine, na kateri lahko opazimo ostanke stare karavle, se nam odpre lep razgled na Bohinjski Migovec, Podrto goro, Mohor, z nekoliko višjih delov planine pa tudi proti Pršivcu in Triglavu."

Slatnik (jugovzhodni vrh),Julijske Alpe, 1597,"46,23455°N","13,99907°E", vrh, 2744, 24% ,2064. mesto,4,0,"Slatnik (jugovzhodni vrh) je razgledna gora, ki se strmo dviga nad Baško grapo na eni strani ter zložneje spušča proti Soriški planini na drugi strani. Z vrha, na katerem je žig, se nam odpre lep razgled na okoliško hribovje."

Nemške glave,Julijske Alpe, 1597,"46,40844°N","13,57477°E", vrh, 300153, 64% ,987. mesto,1,0,"Nemške glave so mejna gora med Slovenijo in Italijo z izhodiščem na mejnem prehodu Predel. Je izjemno razgledišče in hitro dostopna, zato je idealna v primeru vprašljivih vremenskih razmer, pomanjkanja časa ali preprosto takrat, ko se nam ne ljubi kam dlje. "

Jerebikovec,Julijske Alpe, 1593,"46,44318°N","13,95553°E"," vrh, bivak", 496342, 90% ,263. mesto,3,1,"Razgleden vrh, ki je rahlo poraščen se nahaja nad Mojstrano in Radovno. Z vrha je lep pogled proti Karavankam in goram nad dolino Vrat in Krmo. Na vrhu stoji manjši bivak, ki pa nima postelj. Ima pa prijetno zavetišče v primeru nevihte. V bivaku je tudi vpisna knjiga.<br>P.S. Bivak razpada in ni več uporaben."

Bivak Stuparich,Julijske Alpe, 1587,"46,44486°N","13,44788°E", bivak, 237329, 54% ,1235. mesto,1,0,"Bivak Stuparich, ki ima šest ležišč se nahaja med dolino Zajzere in Montažem. Od bivaka se nam odpre lep razgled na okoliška ostenja zahodnih Julijcev."

Šavnik,Julijske Alpe, 1574,"46,24208°N","13,98469°E", vrh, 433545, 82% ,480. mesto,6,0,"Šavnik je travnat vrh, ki se nahaja med smučiščema Soriška planina in Kobla. Z vrha, ki ima vpisno skrinjico z žigom, se nam odpre lep razgled, ki seže od predalpskega hribovja do najvišjih vrhov Karavank in Julijskih Alp."

Grušnica,Julijske Alpe, 1570,"46,2391°N","13,7504°E", vrh, 2120, 22% ,2112. mesto,5,0,"Grušnica je 1570 metrov visok vrh, ki se nahaja med Čadrgom, dolino Tolminke in Tolminskimi Ravnami. Z vrha, ki se strmo spušča proti reki Tolminki, na ostale strani pa je manj strm, se nam odpre lep pogled na vrhove, ki se dvigajo nad Tolminko in Zadlaščico, lepo pa se vidi tudi predalpsko hribovje."

Višarska planina / Malga di Lussari,Julijske Alpe, 1570,"46,47591°N","13,5335°E", planina, 323588, 67% ,894. mesto,2,0,"Višarska planina se nahaja pod Beraškim križem, vrhom v bližini Kamnitega lovca. S planine je lep pogled na omenjeno goro, pobočjem Višarij in Florjanko."

Visoki Mavrinc,Julijske Alpe, 1562,"46,45009°N","13,76556°E", vrh, 441804, 83% ,453. mesto,2,0,"Visoki Mavrinc (Špica v Sedelcih) je 1562 m visoka gora, ki se nahaja med Suho, Malo in Veliko Pišnico. Z vrha na katerem stoji lesen križ in prijetna klopca, se nam odpre čudovit pogled na Frdamane police, Špik, Veliko Ponco, Škrlatico, Razor, Prisank, Vršič, Malo Mojstrovko, greben Robičja...<br> Vrh ima vpisno skrinjico."

Planina v Lazu,Julijske Alpe, 1560,"46,32882°N","13,82552°E", planina, 447417, 84% ,429. mesto,2,0,"Planina se nahaja pod Debelim vrhom, Slatno, Kredo in Ogradi. S planine je zelo lep pogled na gore, ki jo obdajajo. Na planini je tudi studenček, ki planini daje vodo."

Planina Dedno Polje,Julijske Alpe, 1560,"46,31511°N","13,81189°E", planina, 454370, 85% ,399. mesto,3,0,"Na planini, ki se nahaja v osrčju Fužinskih planin je postavljena sirarna katera je vključena v Bohinjsko sirarsko pot. V poletnem času je v koči možno kupiti kakšen mlečni izdelek. Poleg sirarne je na planini še kar nekaj pastirskih stanov, ki pa so po večini že predelani v nekakšne vikende. S planine je lep pogled proti Kredi in Kovačičevi glavi. Med obema omenjenima vrhovoma pa zadaj gleda skalnata Kopica."

Planina Lopučnica,Julijske Alpe, 1558,"46,3158°N","13,76698°E", planina, 248118, 56% ,1190. mesto,6,0,"Lopučnica je planina, ki se nahaja pod planoto Zgornje Komne in nad Lopučniško dolino v bližini Triglavskih jezer. Planina Lopučnica spada med najbolj mrzle planine v Sloveniji, saj ob jasnih zimskih nočeh temperatura pogosto pade pod -30 stopinj celzija. Vzrok, zakaj se mraz spusti na to planino je sledeč. Planino obdajajo visoke gore, s katerih se mrzel zrak, ki je težji od toplega spušča navzdol. Ker je to najnižja točka v bližini se hladen zrak nabere na planini. Ob vetrovnih dneh je razlika manj očitna ali pa je sploh ni. Zanimivo je tudi, da na dnu planine uspeva le trava, višje kot smo pa tudi rušje, še višje pa tudi druga drevesa. S planine je lep razgled na okoliške vrhove, ki le redko dočakajo obisk."

Javoršček,Julijske Alpe, 1557,"46,3141°N","13,5976°E", vrh, 385928, 76% ,659. mesto,2,0,"Javoršček je 1557 m visoka gora, ki se nahaja jugovzhodno od Bovške kotline. S travnatega vrha, se nam odpre lep razgled na Bovško kotlino ter gore, ki se dvigujejo nad omenjeno kotlino."

Planina Klek,Julijske Alpe, 1556,"46,39407°N","13,96161°E", planina, 413686, 79% ,557. mesto,2,0,"Planina Klek je še živa planina, ki se nahaja na severovzhodnem obrobju prostranih pokljuških gozdov. S planine, na kateri stoji nekaj pastirskih stanov ter lovska koča, se nam odpre lep razgled na Klečico in Debelo peč."

Mojčin dom na Vitrancu,Julijske Alpe, 1555,"46,476°N","13,7598°E", koča, 500070, 91% ,253. mesto,5,0,"Mojčin dom na Vitrancu se nahaja nekaj 10 metrov zahodno od nekdanjega in danes propadajočega Doma na Vitrancu. Mojčin dom je odprt ob sobotah in nedeljah med 9.00 in 17.00 uro od maja do oktobra. V juliju in avgustu pa je stalno odprt. Razgled od doma je najlepši na vrhove, ki se dvigajo nad dolinama Male in Velike Pišnice, vidijo pa se tudi Jalovec, Karavanke, Krške Alpe, Visoke Ture, Ziljske Alpe, Karnijske Alpe in del zahodnih Julijskih Alp. 100 metrov vzhodno od koče, pri vzletišču za jadralne padalce, pa se odpre še lep pogled proti vzhodu, kjer lepo vidimo Kranjsko Goro in del Gornjesavske doline."

Planja (nad Mangartsko planino),Julijske Alpe, 1553,"46,4263°N","13,6154°E", vrh, 340, 8% ,2478. mesto,1,0,"Planja je 1553 metrov visok vrh, ki se nahaja med Mangartsko planino, Vrhom Ilovca in Strmcem na Predelu. Z vrha, ki ga prerašča ruševje, se nam odpre lep pogled proti Mangartu, Jalovcu in ostalim goram v porečju Koritnice."

Bivak pod Muzcem,Julijske Alpe, 1550,"46,28743°N","13,41393°E"," sedlo, bivak", 317643, 66% ,916. mesto,1,0,"Bivak pod Muzcem se nahaja na manjšem sedelcu med Gabrovcem in Muzcem. Bivak v katerem je možno tudi prenočiti (v njem so štiri ležišča ter tri zasilna) je bil zgrajen leta 2002 na pobudo razvojnega društva Breginjski kot. Od bivaka, se nam odpre lep pogled na Breginjski kot in Jadransko morje."

Lajnar,Julijske Alpe, 1549,"46,23017°N","14,00632°E", vrh, 476295, 88% ,333. mesto,4,1,"Lajnar je 1549 m visoka gora, ki se nahaja severno od Soriške planine. Z vrha, ki je tudi najvišja točka smučišča se nam odpre lep pogled na bližnji Dravh, Porezen, Črno prst, Triglav, Karavanke in Ratitovec. Vrh ima vpisno skrinjico in žig."

Planina v Plazeh,Julijske Alpe, 1548,"46,352°N","13,7317°E"," sedlo, planina", 241862, 55% ,1213. mesto,2,0,"Planina v Plazeh je opuščena planina, ki se nahaja severno od Dola pod plazmi, točneje med Glavo (1599 m) in Malo ter Veliko Tičarico. S planine, na kateri stoji koča, katero opravlja TNP (koča je zaprtega tipa, jo je pa možno najeti) se nam odpre lep razgled proti zahodu in jugu, kjer lepo vidimo greben od Špičja do Travnika."

Dravh,Julijske Alpe, 1547,"46,23268°N","14,0138°E", vrh, 423187, 81% ,522. mesto,3,0,"Dravh je 1547 m visok vrh, ki se nahaja med Sorico in Soriško planino. Z neporaščenega vrha se nam odpre lep razgled na Škofjeloško in Cerkljansko hribovje, Črno prst, Triglav, Karavanke in Ratitovec."

Dom na Matajure,Julijske Alpe, 1545,"46,20924°N","13,52503°E", koča, 358968, 72% ,757. mesto,2,0,"Dom na Matajure je slovenska planinska koča, ki se nahaja na italijanski strani Matajurja, točneje manj kot 100 višinskih metrov zahodno oz. jugozahodno od vrha. Od planinske koče, katero opravlja Planinska družina Benečije, se nam odpre lep razgled na Beneško Slovenijo ter jugozahodni del Julijskih Alp, kjer lepo vidimo večji del najdaljšega grebena v Julijskih Alpah (greben od Kobariškega oz. Breginjskega Stola, ki se prek Muzcev in Breškega Jalovca nadaljuje proti zahodu)."

Požar,Julijske Alpe, 1543,"46,42047°N","13,88618°E", vrh, 206631, 50% ,1353. mesto,2,0,"Požar je 1543 m visok neporaščen vrh, ki se nahaja v grebenu gora, ki se vleče od Mojstrane do Visoke Vrbanove špice. Z vrha, na katerem je večji možic, se nam odpre lep razgled na vrhove, ki obdajajo doline Vrata, Za Cmirom, Kot, Krma in Radovna."

Kravja Črna gora,Julijske Alpe, 1541,"46,2401°N","13,96039°E", vrh, 304252, 64% ,967. mesto,1,0,"Kravja Črna gora je vrh, ki ga obkrožajo smučarske proge smučišča Kobla. Z vrha na katerem stoji pretvornik je lep razgled po delu Spodnjih Bohinjskih gora in večjemu delu osrednjih Julijcev. Proti vzhodu opazimo Karavanke in daleč zadaj Kočno in Grintovec."

Visoka glava (na Matajurju),Julijske Alpe, 1540,"46,218°N","13,5255°E", vrh, 520, 11% ,2399. mesto,1,0,"Visoka glava je 1540 metrov visok vrh, ki se nahaja na severozahodnem delu Matajurja. Z razglednega vrha se nam odpre lep pogled na vrh Matajur in velik del gora v porečju Nadiže in Soče."

Mesnovec,Julijske Alpe, 1538,"46,3372°N","13,9446°E", vrh, 270959, 59% ,1099. mesto,1,0,"Mesnovec je 1538 m visok vrh, ki se nahaja med Zgornjim Goreljkom in Rudnim poljem na Pokljuki. Z vrha, se nam odpre le nekaj razgleda proti najvišjim vrhovom Julijskih Alp, saj večji del razgleda onemogoča bližnje drevje. Za veliko lepši razgled, pa se je vredno povzpeti na 30 m nižji stranski vrh (severozahodni vrh). Z omenjenega vrha pa se nam odpre lep razgled na Triglav, Rjavino, vrhove nad Pokljuko ter del Karavank."

Planinska koča Merjasec,Julijske Alpe, 1535,"46,26335°N","13,83977°E", koča, 431666, 82% ,489. mesto,3,0,"Planinska koča Merjasec se nahaja v bližini Ski hotela na Voglu le 100 m od zgornje postaje  nihalke. Kočo obdaja manjši pas gozda tako, da se moramo za razgled sprehoditi po bližnji okolici."

Viška planina,Julijske Alpe, 1530,"46,41478°N","13,50194°E", planina, 285962, 61% ,1043. mesto,1,0,"Viška planina se nahaja severno od zgornjega dela Jezerske doline, pod najvišjimi vrhovi Viševe skupine. S planine do katere vodi za promet zaprta gozdna cesta, je lep razgled na okoliške vrhove."

Planina na Polju,Julijske Alpe, 1530,"46,2785°N","13,67646°E", planina, 374206, 74% ,702. mesto,1,0,"Planina na kateri še vedno pasejo živino se nahaja v osrčju Krnskega pogorja. Planina ima pastirski stan in studenček, ki je zelo uporaben. Uporabljajo ga lahko planinci pri vzponu na Krn in živali pri vsakodnevni paši. S planine je lep razgled na Krnsko pogorje."

Lovska koča na Glinu,Julijske Alpe, 1527,"46,2411°N","13,8684°E", vrh, 160998, 44% ,1529. mesto,5,0,"Lovska koča na Glinu se nahaja na razgledni vzpetini med planinama Suha in Poljana. Od koče se nam odpre lep pogled proti Triglavu in večini gora nad Bohinjem, lepo pa se vidi tudi del Spodnjih Bohinjskih gora."

Erjavčeva koča na Vršiču,Julijske Alpe, 1525,"46,43921°N","13,74934°E", koča, 473678, 88% ,338. mesto,2,0,"Erjavčeva koča na Vršiču na nahaja na kranjskogorski strani Vršiške ceste, na razgledni vzpetini nad bližnjim hudournikom. Od koče se nam ob lepem vremenu odpre lep razgled na vrhove nad dolino Pišnice in delu gora nad vršiško cesto."

Rifugio Cinque Punte,Julijske Alpe, 1520,"46,45894°N","13,59549°E", bivak, 242719, 55% ,1208. mesto,1,0,"Koča Cinque Punte se nahaja na vzhodni strani Rabeljskih špic. Od koče, katere del je preurejen v bivak se nam odpre lep pogled na bližnja ostenja Rabeljskih špic."

Dom na Komni,Julijske Alpe, 1520,"46,28446°N","13,77338°E", koča, 627056, 98% ,44. mesto,8,2,"Dom, ki je odprt vse leto se nahaja na neizraziti razgledni vzpetini zahodno od Bohinjskega jezera. Dom je lepo viden z jezera in njegove bližnje okolice. Pred domom je razgledna terasa s katere se lepo vidijo Spodnje Bohinjske gore. Za ogled gora nad dolino Triglavskih jezer pa se moramo povzpeti na minuto oddaljeni hribček zraven razgledne terase. Ker je dom odprt vse leto je pot tudi pozimi shojena že dan ali dva po sneženju."

Planina Ravna,Julijske Alpe, 1515,"46,4851°N","13,467°E"," bivak, cerkev, planina", 181630, 46% ,1450. mesto,1,0,"Planina Ravna je razgledna planina, ki se nahaja med Kanalsko dolino in Zajzero. S planine na kateri stoji kapela Zita ter le nekaj 10 m nižje tudi manjši bivak z dvema posteljama, se nam odpre lep razgled na vzhodne Karnijske Alpe, Dobrač ter del zahodnih Julijskih Alp."

Krevl,Julijske Alpe, 1515,"46,23596°N","13,96068°E", vrh, 302451, 64% ,976. mesto,8,0,"Krevl je 1515 m visok vrh, ki se nahaja južno od smučišča Kobla, točneje med vrhom Koble in Kravjo Črno goro. Z vrha, na katerem je žig in vpisna knjiga sosednje Koble, se nam odpre lep razgled na Škofjeloško in Cerkljansko hribovje, vrhove nad Soriško planino, del Črne prsti z njenima vzhodnima predvrhoma ter Triglavu in ostalim najvišjim vrhovom Julijskih Alp."

Koča pod Bogatinom,Julijske Alpe, 1513,"46,28775°N","13,76333°E"," koča, planina", 501369, 91% ,250. mesto,3,0,"Koča pod Bogatinom se nahaja na osrednjem delu planine na Kraju. Od koče, ki je odprta v poletni sezoni (občasno tudi v času turno smučarske sezone) se nam odpre lep razgled na vrhove nad planoto Komne."

Planina Za skalo,Julijske Alpe, 1510,"46,31904°N","13,71744°E", planina, 354500, 71% ,778. mesto,1,0,"Planino na kateri se že dolgo časa ne pase živina je TNP pred leti obnovil. S planine je lep razgled predvsem proti Bavškemu Grintavcu. V bližnji okolici je precej vrhov na katere ne vodijo markirane poti, zato je planina tudi izhodišče za ljubitelje brezpotij. "

Lovska koča Na Utrci,Julijske Alpe, 1500,"46,39604°N","13,79424°E", , 234133, 54% ,1244. mesto,1,0,"Lovska koča Na Utrci se nahaja pod manjšim skalnim previsom, ki le to ščiti pred morebitnimi snežnimi plazovi. Od koče, pod nadstreškom katere lahko vedrimo v primeru nevihte, se nam odpre lep razgled na vrhove nad dolino Zadnjice."

Rifugio Pellarini,Julijske Alpe, 1499,"46,44064°N","13,50833°E", koča, 273067, 60% ,1094. mesto,1,0,"Rifugio Pellarini je planinska koča, ki se nahaja nad dolino Zajzero, točneje med Lastovicami, Žabniško krnico in Velikim Nabojsom. Od koče, ki je odprta v poletni sezoni, se nam odpre lep razgled na ostenja Lastovic, Viša in Velikega Nabojsa."

Lengarjeva glava,Julijske Alpe, 1498,"46,42482°N","13,89332°E", vrh, 166487, 44% ,1509. mesto,1,0,"Lengarjeva glava je 1498 m visok vrh, ki se nahaja med dolinama Vrata in Kot. Z delno poraščenega vrha, se nam odpre lep pogled na Debelo peč ter Macesnovec, na ostale vrhove pa razgled delno zakrivata gozd in grmičevje."

Kobla,Julijske Alpe, 1498,"46,23387°N","13,96483°E", vrh, 461756, 86% ,376. mesto,4,0,"Vrh se nahaja v Spodnjih Bohinjskih gorah med Črno prstjo in Soriško planino. Točno pod vrhom je železniški predor, ki povezuje Bohinjsko Bistrico in Podbrdo. Z vrha je lep pogled Proti Škofjeloškemu in Cerkljanskemu hribovju na jugu ter Julijskim Alpam proti severu. Žig in vpisna skrinjica pa sta na sosednjem vrhu imenovanem Krevl."

Planina na Kalu,Julijske Alpe, 1490,"46,2422°N","13,7558°E"," bivak, planina", 275350, 60% ,1084. mesto,6,0,"Planino na Kalu najdemo na JZ pobočju Tolminskega Migovca (1868 m), na sedlu med njim in Grušnico (1570 m). Na planini so 3 koče, v tretji je bivak. Planina leži sredi travnika. Pod kočami najdemo hladno pitno vodo iz pipe, v eni od ruševin pa tudi stranišče na štrbunk. <br>S planine vodi neoznačena pot na Grušnico, nekaj metrov nad kočami pa se pot razdeli na desno proti Krnu in levo proti Tolminskemu Migovcu."

Nizki vrh ,Julijske Alpe, 1488,"46,2916°N","13,3902°E", vrh, 212684, 51% ,1329. mesto,1,0,"Nizki vrh se nahaja na razpotju med Breškim Jalovcem / Monte maggiore (ITA) ter Gabrovcem v bližini državne meje, z vrha se nam odpre lep razgled na Matajur, Benečijo ter Jadransko morje."

Črni vrh / Colrotondo,Julijske Alpe, 1486,"46,475°N","13,6534°E", vrh, 610, 13% ,2355. mesto,2,0,"Črni vrh / Colrotondo je dokaj razgleden vrh, ki se nahaja zahodno do jugozahodno od Belopeških jezer. Z vrha, na katerem stoji lovska opazovalnica, se nam odpre lep pogled na greben Rateških Ponc, Strugu, Vevnici, Mangartu in deloma Poldniku (Kopa) / Picco di Mezzodi, na ostale strani razgled deloma zastira gozd."

Planina Vodični vrh,Julijske Alpe, 1486,"46,3015°N","13,8437°E", planina, 303511, 64% ,972. mesto,1,0,"Planina Vodični vrh je manj obiskana planina, ki se nahaja med planino Vogar in planino pri Jezeru. S planine, na kateri stoji nekaj starih ter deloma tudi lepo obnovljenih stanov, zaradi bližnjega gozda ni lepšega razgleda."

Javorov vrh (Pokljuka),Julijske Alpe, 1482,"46,32423°N","13,95066°E", vrh, 434863, 82% ,474. mesto,1,0,"Javorov vrh je 1482 m visoka gora, ki se nahaja med prostranimi gozdovi Pokljuke, točneje med planino Konjska dolina in planino Jelje. Le nekaj metrov stran od vrha, se nahaja lepa razgledna točka, s katere se nam odpre lep pogled na pokljuške gozdove in najvišje vrhove Julijskih Alp."

Planina Govnjač,Julijske Alpe, 1480,"46,27634°N","13,76316°E", planina, 365991, 73% ,732. mesto,1,0,"Planina se nahaja na planoti Spodnje Komne in  ima lepo izhodišče za številne ture. Lep pa je pogled po bližnji okolici. 25. januarja 2006 je bila na planini Govnjač izmerjena ena nižjih temperatur pri nas. Izmerili so -40,2 stopinji Celzija. 8. januarja 2009 pa so na bližnji Mrzli Komni imerili -49,1 stopinj Celzija."

Bivak pod Luknjo,Julijske Alpe, 1480,"46,39127°N","13,82189°E", bivak, 464360, 86% ,367. mesto,1,0,Bivak stoji v gozdu malo pod Luknjo v alpski dolini Vrata. V bivaku lahko prespimo ali pa samo vedrimo v primeru nevihte.

Kobilja glava,Julijske Alpe, 1475,"46,19015°N","13,79541°E", vrh, 423795, 81% ,521. mesto,2,0,"Kobilja glava je 1475 m visok vrh, ki se nahaja vzhodno od Tolmina. Z vrha na katerem stoji križ, se nam odpre lep razgled na Krn, verigo Spodnjih Bohinjskih gora, Škofjeloško in Cerkljansko hribovje, Golake, Jadransko morje, Matajur in na del doline reke Soče."

Planina Poljana,Julijske Alpe, 1466,"46,23684°N","13,89276°E", planina, 222450, 52% ,1288. mesto,4,0,"V osrčju Spodnjih Bohinjskih gora, ob vznožju razglednega Raskovca in stran od markiranih poti je svoj prostor našla planina Poljana. Planina Poljana je malo znana in še manj obiskana planina na kateri še vedno pasejo živino. S planine na kateri se nahaja pastirska koča je lep pogled na že prej omenjeni Raskovec in pobočja vrhov, ki obdajajo planino."

Vrtaška planina,Julijske Alpe, 1462,"46,45333°N","13,9042°E"," bivak, planina", 417820, 80% ,538. mesto,2,0,Planina se nahaja nad Mojstrano. Na planini stoji pastirska hiša katera ima na podstrešju hiše urejen zasilni bivak. S planine je lep pogled proti vrhovom nad dolino Vrat.

Koča na Planini pri Jezeru,Julijske Alpe, 1453,"46,30968°N","13,82758°E"," koča, bivak, planina, jezero", 565006, 96% ,108. mesto,5,0,"Koča na Planini pri Jezeru, se nahaja v osrčju Fužinskih planin. V bližini koče, ki je odprta v razširjeni poletni sezoni, se nahaja še nekaj pastirskih stanov in pod njimi Jezero na Planini pri Jezeru. S planine zaradi gozda, ki le to obdaja ni lepšega razgleda. Z nekaj truda, pa lahko vseeno vidimo Debeli vrh in Ograde.<br>Ko je koča zaprta nam zavetje nudi manjša zimska soba s 6 ležišči."

Jalovnik,Julijske Alpe, 1452,"46,18723°N","13,80083°E", vrh, 268317, 59% ,1110. mesto,2,0,"Jalovnik je travnat vrh, ki se nahaja jugovzhodno od nekoliko višje Kobilje glave. Z vrha, ki ima vpisno skrinjico, se nam tako odpre lep pogled na Škofjeloško in Cerkljansko hribovje, Golake, Matajur in verigo Spodnjih Bohinjskih gora."

Planina Sleme,Julijske Alpe, 1448,"46,2429°N","13,6918°E"," sedlo, planina", 361596, 72% ,749. mesto,2,0,"Planina Sleme je razgledna planina, ki se nahaja med Visoč vrhom in grebenom Slemenskih peči. S planine, na kateri stoji nekaj koč, spomenik NOB in korito z vodo, se nam odpre lep razgled na gore, ki obdajajo dolino reke Tolminke, Kolovrat, Matajur in Krn z okolico."

Planina Konjščica,Julijske Alpe, 1438,"46,3488°N","13,89645°E"," koča, planina", 516606, 92% ,206. mesto,5,0,"Planina Konjščica se nahaja med Viševnikom in grebenom Slemena, katerega najvišji vrh je Ablanca. V osrednjem delu planine se nahaja nekaj pastirskih koč, ena izmed njih pa je preurejena v sirarno. Na prostrani planini je tudi izvir s pitno vodo, studenček in lesen križ. Ker se planina nahaja v dolini je razgled omejen na že prej omenjene vrhove."

Rifugio Brunner,Julijske Alpe, 1432,"46,42357°N","13,53081°E", koča, 272, 7% ,2513. mesto,1,0,"Koča Rifugio Brunner se nahaja v dolini Belega potoka / Val di Riobianco nad Jezersko dolino (tudi Rabeljska dolina) / Val Rio del Bianco. Od koče, ki je na razpolago ob dogovoru z društvom iz Trbiža / Tarvisio, se nam odpre lep pogled na okoliške gore. Ob koči teče voda v korito, ob koči pa je tudi razpotje večih poti."

Bivak pod Špikom,Julijske Alpe, 1424,"46,45705°N","13,81836°E"," koča, bivak", 448886, 84% ,426. mesto,2,1,"Bivak, ki ga v bolj obiskanih dneh priredijo v manjšo okrepčevalnico stoji na robu gozda nad Gozd Martuljkom. Od bivaka je lep razgled proti Špiku in vrhovom okrog njega."

Planina Zadnji Vogel,Julijske Alpe, 1413,"46,2502°N","13,8277°E", planina, 383352, 75% ,672. mesto,2,0,"Planina Zadnji Vogel je še živa planina, ki se nahaja v neposredni bližini smučišča Vogel. S planine, na kateri stoji sirarna, se nam odpre lep razgled na gore, ki obdajajo omenjeno planino."

Planina Gorjuda,Julijske Alpe, 1404,"46,38629°N","13,43932°E"," bivak, planina", 194721, 48% ,1399. mesto,1,0,"Gorjuda je opuščena planina, ki se nahaja južno od Reklanske doline. S planine, ki je v poletnih mesecih precej zaraščena je lep pogled na Montaž in njegove okoliške vrhove. Pastirska koča, ki je včasih služila pastirjem je danes namenjena planincem in služi kot bivak."

Planina nad Sočo,Julijske Alpe, 1400,"46,3522°N","13,6587°E", planina, 273082, 60% ,1093. mesto,1,0,"Planina nad Sočo je razgledna planina, ki se nahaja severno od vasi Soča. S planine, na kateri stoji lovska koča, se nam odpre lep razgled proti goram, ki se dvigajo nad zgornjim tokom doline reke Soče."

Planina Osredki,Julijske Alpe, 1400,"46,2379°N","13,92248°E"," bivak, planina", 262800, 58% ,1131. mesto,2,0,"Planina Osredki je opuščena planina, ki se nahaja zahodno od grebena Kozji rob (greben med Črno prstjo in Liscem). S planine na kateri stoji bivak z dvema zasilnima ležiščema, se nam odpre lep razgled na osrednje Julijce, kjer najlepše vidimo Triglav."

Krnsko jezero,Julijske Alpe, 1391,"46,2857°N","13,68434°E"," planina, jezero", 632439, 99% ,40. mesto,2,1,"Krnsko jezero je največje slovensko visokogorsko jezero. Dolgo je 300m, široko 150m in skoraj 18m globoko. Od jezera je lep pogled proti Krnu in njegovim sosednjim vrhovom. Kopanje v jezeru je prepovedano zaradi ohranjanja ekosistema jezera, ki je že zelo ogrožen zaradi umetno naseljenih rib."

Rifugio Grego,Julijske Alpe, 1389,"46,4575°N","13,4551°E", koča, 282622, 61% ,1058. mesto,1,0,Koča stoji na manjši planini s katere je zelo lep razgled na severno steno Montaža.

Planina Suha,Julijske Alpe, 1385,"46,24169°N","13,85591°E", planina, 394515, 77% ,625. mesto,5,0,"Planina Suha, je srednje velika planina, ki se nahaja v nekakšnem amfiteatru med vrhovi Vrh Okroglice, Špik, Mala Rodica, Debeli vrh in Zavitar. Na planini, kjer v poletnem še vedno pasejo živino, stoji nekaj pastirskih koč, ob eni od omenjenih koč, pa je običajno tudi pipa s pitno vodo, le ta je odprta v poletnih mesecih."

Dom pri Krnskih jezerih,Julijske Alpe, 1385,"46,28869°N","13,69618°E"," koča, bivak", 532531, 94% ,163. mesto,2,0,"Dom pri Krnskih jezerih se nahaja nad Dupeljskim jezerom. Zaradi lahkega dostopa je dom pri Krnskih jezeri med najbolje obiskanimi slovenskimi planinskimi postojankami. Pri domu, ki ima tudi zimsko sobo ni lepega razgleda saj ga ovira gozd. Večina obiskovalcev pa izlet podaljša do 15 minut oddaljenega Krnskega jezera kjer se odpre zelo lep razgled."

Tonkina koča na Vršiču,Julijske Alpe, 1380,"46,4389°N","13,7538°E", koča, 10139, 27% ,1984. mesto,1,0,"Tonkina koča na Vršiču se nahaja na kranjskogorski strani Ruske oz. vršiške ceste, točneje med Erjavčevo kočo in Kočo na Gozdu. V času poletne sezone je koča stalno odprta, v preostalem delu leta pa običajno od petka do nedelje."

Rifugio Zacchi,Julijske Alpe, 1380,"46,45921°N","13,6843°E", koča, 367360, 73% ,727. mesto,1,0,"Rifugio Zacchi je planinska koča, ki se nahaja na italijanski strani Visoke Ponce. Čeprav kočo obdaja gozd, je lep razgled na ostenja okoliških vrhov. "

Planica pod Krnom,Julijske Alpe, 1376,"46,2485°N","13,64°E", vrh, 223041, 53% ,1285. mesto,2,0,"Planica je 1376 m visok vrh, ki se nahaja jugozahodno od Krna. Z zaraščenega vrha, ki ima dva približno enako visoka vrhova, se nam skozi grmičevje odpre lep razgled na Krnsko skupino gora in del vrhov nad osrednjim tokom reke Soče."

